RANK,COUNTRY/ECONOMY,VALUE,SCORE
1,Norway,0.85,100
2,Denmark,0.83,97.24
3,Finland,0.8,93.95
4,Sweden,0.8,93.08
5,Netherlands,0.76,89.01
6,New Zealand,0.74,86.73
7,United States,0.72,84.4
8,Estonia,0.71,82.82
9,"Korea, Rep.",0.71,82.64
10,Canada,0.7,81.53
11,Australia,0.68,79.37
12,Czech Republic,0.65,75.65
13,Belgium,0.63,73.15
14,Germany,0.61,71.2
15,Poland,0.6,70.34
16,Latvia,0.6,69.36
17,Luxembourg,0.57,66.56
18,Kenya,0.57,66.35
19,Switzerland,0.57,66.23
20,Lithuania,0.52,60.65
21,France,0.52,60.62
22,Austria,0.52,59.89
23,United Arab Emirates,0.51,59.16
24,Slovakia,0.51,58.94
25,Israel,0.5,58.49
26,China,0.5,57.53
27,Singapore,0.49,56.92
28,United Kingdom,0.48,55.84
29,Hong Kong (China),0.45,52.51
30,Slovenia,0.45,52.32
31,Malta,0.44,51.17
32,Ireland,0.44,50.93
33,"Iran, Islamic Rep.",0.44,50.73
34,Russian Federation,0.44,50.6
35,Namibia,0.42,48.77
36,Mongolia,0.4,46.58
37,Venezuela,0.4,46.32
38,Belarus,0.4,46.02
39,Zimbabwe,0.38,44.27
40,Croatia,0.38,43.89
41,Hungary,0.38,43.79
42,Malaysia,0.38,43.4
43,Turkey,0.38,43.39
44,Cyprus,0.37,42.11
45,Saudi Arabia,0.36,40.98
46,Zambia,0.35,40.46
47,Bahrain,0.35,40
48,Chile,0.34,39.41
49,Japan,0.34,38.84
50,Spain,0.32,36.31
51,Botswana,0.32,36.21
52,Tanzania,0.31,35.69
53,Kazakhstan,0.31,35.3
54,Portugal,0.3,34.56
55,Mozambique,0.3,34.3
56,Kuwait,0.3,34.02
57,"Congo, Dem. Rep.",0.29,33.51
58,Ukraine,0.29,32.53
59,Ghana,0.28,32.31
60,Malawi,0.27,31.01
61,Lesotho,0.27,30.94
62,Senegal,0.27,30.8
63,Benin,0.27,30.59
64,Uganda,0.27,30.31
65,Costa Rica,0.26,29.47
66,Viet Nam,0.25,28.29
67,South Africa,0.25,28.13
68,Uruguay,0.25,27.88
69,Burkina Faso,0.24,27.27
70,Italy,0.24,26.71
71,Moldova,0.23,25.65
72,Mali,0.22,24.23
73,Cameroon,0.22,24.15
74,C̫te d'Ivoire,0.21,23.87
75,Romania,0.21,23.59
76,Greece,0.21,23.33
77,Argentina,0.21,22.93
78,Thailand,0.2,22.52
79,Brazil,0.18,19.93
80,Nigeria,0.18,19.7
81,Tajikistan,0.18,19.4
82,Serbia,0.17,18.74
83,Mauritius,0.16,18.11
84,Trinidad and Tobago,0.16,17.67
85,Armenia,0.16,17.52
86,Colombia,0.16,17.15
87,Guinea,0.15,16.91
88,North Macedonia,0.15,16.85
89,Montenegro,0.15,16.36
90,Mexico,0.15,16.28
91,El Salvador,0.15,16.25
92,Bulgaria,0.15,16.23
93,Georgia,0.15,15.9
94,Indonesia,0.14,14.96
95,Rwanda,0.13,14.35
96,Bangladesh,0.13,14.08
97,Philippines,0.13,13.55
98,Panama,0.12,13.18
99,Dominican Republic,0.12,12.98
100,Lebanon,0.12,12.96
101,Bolivia,0.12,12.41
102,Pakistan,0.11,11.51
103,Bosnia and Herzegovina,0.1,10.71
104,Kyrgyzstan,0.1,10.62
105,Tunisia,0.1,10.37
106,Paraguay,0.1,10.29
107,Peru,0.1,10.13
108,Honduras,0.1,9.92
109,Ecuador,0.09,9.8
110,Sri Lanka,0.09,9.76
111,Jordan,0.09,9.24
112,Albania,0.08,8.62
113,Guatemala,0.08,7.65
114,Azerbaijan,0.07,6.93
115,Nepal,0.07,6.34
116,India,0.06,5.99
117,Cambodia,0.06,5.27
118,Lao PDR,0.06,5.12
119,Algeria,0.05,4.16
120,Morocco,0.04,3.56
121,Egypt,0.04,3.38
122,Ethiopia,0.01,0
,Angola,n/a,n/a
,Burundi,n/a,n/a
,Cabo Verde,n/a,n/a
,Chad,n/a,n/a
,Eswatini,n/a,n/a
,Gambia,n/a,n/a
,Iceland,n/a,n/a
,Jamaica,n/a,n/a
,Madagascar,n/a,n/a
,Oman,n/a,n/a
,Qatar,n/a,n/a
,Yemen,n/a,n/a
