Ranking,Year,Country,Download speed (Mbps)
1,2021,Monaco,256.7
2,2021,Singapore,256.03
3,2021,Hong Kong (SAR),248.59
4,2021,Thailand,216.16
5,2021,Romania,215.3
6,2021,Switzerland,214.82
7,2021,South Korea,212.83
8,2021,Chile,209.45
9,2021,Denmark,208.5
10,2021,Liechtenstein,207.44
11,2021,France,199.68
12,2021,Hungary,199.47
13,2021,Moldova,196.46
14,2021,United States,195.55
15,2021,United Arab Emirates,190.96
16,2021,Spain,187.88
17,2021,China,184.78
18,2021,Japan,179.43
19,2021,Canada,174.53
20,2021,Luxembourg,168.89
21,2021,Macau (SAR),168.82
22,2021,Israel,168.23
23,2021,Andorra,165.07
24,2021,New Zealand,164.06
25,2021,Sweden,163.31
26,2021,Norway,161.67
27,2021,Netherlands,161.67
28,2021,Portugal,153.99
29,2021,Taiwan,147.13
30,2021,Poland,144.1
31,2021,Kuwait,143.16
32,2021,Malta,138.5
33,2021,Latvia,133.08
34,2021,Lithuania,132.18
35,2021,Finland,128.04
36,2021,Panama,127.15
37,2021,Germany,126.44
38,2021,Belgium,122.15
39,2021,Ireland,116.19
40,2021,Barbados,114.27
41,2021,Slovenia,110.66
42,2021,San Marino,107.53
43,2021,Qatar,106.9
44,2021,Austria,106.76
45,2021,Brazil,104.5
46,2021,Malaysia,100.94
47,2021,Slovakia,100.74
48,2021,Italy,97.34
49,2021,United Kingdom,93.73
50,2021,Saudi Arabia,91.99
51,2021,Russia,90.33
52,2021,Trinidad and Tobago,89.61
53,2021,Australia,85.32
54,2021,Czechia,84.13
55,2021,Jordan,81.66
56,2021,Estonia,81.4
57,2021,Bulgaria,80.5
58,2021,Serbia,79.02
59,2021,Vietnam,78.43
60,2021,Bahrain,76.3
61,2021,Ukraine,73.08
62,2021,Paraguay,71.86
63,2021,Philippines,71.17
64,2021,Belarus,65.61
65,2021,Colombia,65.16
66,2021,Guyana,62.22
67,2021,Uruguay,60.7
68,2021,India,60.06
69,2021,Kazakhstan,59.94
70,2021,Oman,58.75
71,2021,Peru,57.27
72,2021,Kosovo,57.22
73,2021,Saint Vincent and the Grenadines,56.12
74,2021,Argentina,55.94
75,2021,The Bahamas,55.04
76,2021,Croatia,54.62
77,2021,Grenada,53.14
78,2021,Ghana,52.52
79,2021,Costa Rica,51.21
80,2021,Mexico,51.1
81,2021,Cyprus,50.77
82,2021,South Africa,50.45
83,2021,Mongolia,49.08
84,2021,Montenegro,48.86
85,2021,Kyrgyzstan,47.73
86,2021,Laos,47.58
87,2021,Saint Lucia,46.89
88,2021,Madagascar,44.65
89,2021,Bosnia and Herzegovina,44.08
90,2021,Albania,43.56
91,2021,Belize,41.76
92,2021,Egypt,41.45
93,2021,Uzbekistan,40.9
94,2021,Jamaica,40.19
95,2021,Brunei,39.78
96,2021,North Macedonia,39.74
97,2021,Dominica,39.65
98,2021,Turkey,38.58
99,2021,Bangladesh,38.27
100,2021,Greece,36.42
101,2021,Armenia,36.25
102,2021,Ecuador,34.81
103,2021,Senegal,34.65
104,2021,C̫te d'Ivoire,32.47
105,2021,Tajikistan,32.37
106,2021,Iraq,32.17
107,2021,Dominican Republic,31.26
108,2021,Nicaragua,29.66
109,2021,Seychelles,29.52
110,2021,Marshall Islands,29.41
111,2021,Saint Kitts and Nevis,29.21
112,2021,Nepal,29.08
113,2021,Morocco,27.52
114,2021,Georgia,27.46
115,2021,Western Sahara,27
116,2021,Bolivia,26.96
117,2021,El Salvador,26.11
118,2021,Sri Lanka,25.96
119,2021,Indonesia,25.58
120,2021,Cambodia,25.5
121,2021,Burkina Faso,25.45
122,2021,Honduras,25.26
123,2021,Azerbaijan,24.08
124,2021,Cape Verde,24.01
125,2021,Lesotho,23.87
126,2021,Maldives,23.85
127,2021,Mauritius,23.25
128,2021,Guatemala,22.91
129,2021,Republic of the Union of Myanmar,22.69
130,2021,Palestine,22.09
131,2021,Congo,22.03
132,2021,Togo,21.61
133,2021,Venezuela,21.34
134,2021,Iran,21.04
135,2021,Gabon,20.22
136,2021,Mali,20.18
137,2021,Rwanda,19.91
138,2021,Fiji,19.58
139,2021,Antigua and Barbuda,18.75
140,2021,Liberia,18.45
141,2021,Benin,18.26
142,2021,Kenya,17.96
143,2021,Somalia,17.53
144,2021,Bhutan,17.5
145,2021,Namibia,17.49
146,2021,Tanzania,16.86
147,2021,Nigeria,16.85
148,2021,Lebanon,16.55
149,2021,Libya,16.31
150,2021,Vanuatu,16.24
151,2021,Ethiopia,15.71
152,2021,Papua New Guinea,15.33
153,2021,Haiti,15.2
154,2021,Suriname,15.1
155,2021,Micronesia,14.89
156,2021,Uganda,14.72
157,2021,Angola,14.56
158,2021,Zambia,13.86
159,2021,Zimbabwe,13.63
160,2021,Cameroon,13.36
161,2021,Pakistan,13.19
162,2021,Djibouti,12.77
163,2021,Sierra Leone,12.28
164,2021,Botswana,12.08
165,2021,DR Congo,11.39
166,2021,Burundi,11.36
167,2021,Malawi,11.08
168,2021,The Gambia,10.8
169,2021,Mauritania,10.7
170,2021,Syria,10.28
171,2021,Afghanistan,10.28
172,2021,Swaziland,10.13
173,2021,Tunisia,9.45
174,2021,Algeria,9.38
175,2021,Mozambique,9.36
176,2021,Niger,8.33
177,2021,Sudan,7.48
178,2021,Yemen,5.49
179,2021,Cuba,4.61
180,2021,Turkmenistan,4.61
